Date,City,Daily_Confirmed,Daily_Active,Daily_Recovered,Daily_Deaths,Cumulative_Confirmed,Cumulative_Active,Cumulative_Recovered,Cumulative_Deaths,Region,Event
03/30/2020,Hofuf,6,5,1,0,20,18,2,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Jazan,0,0,0,0,7,7,0,0,Jazan,"Makkah , Madinah 24 hours curfew"
03/30/2020,Jeddah,9,3,6,0,194,181,12,1,Makkah,"Makkah , Madinah 24 hours curfew"
03/30/2020,Jubail,0,0,0,0,1,1,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Khafji,0,0,0,0,1,1,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Khamis Mushait,1,1,0,0,5,4,1,0,Asir,"Makkah , Madinah 24 hours curfew"
03/30/2020,Khobar,6,6,0,0,24,24,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Mecca,40,0,40,0,240,168,70,2,Makkah,"Makkah , Madinah 24 hours curfew"
03/30/2020,Medina,22,22,0,0,72,68,0,4,Medina,"Makkah , Madinah 24 hours curfew"
03/30/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,"Makkah , Madinah 24 hours curfew"
03/30/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Najran,0,0,0,0,13,13,0,0,Najran,"Makkah , Madinah 24 hours curfew"
03/30/2020,Qatif,5,5,0,0,99,90,9,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Ras Tanura,0,0,0,0,1,1,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Riyadh,22,20,2,0,540,524,15,1,Riyadh,"Makkah , Madinah 24 hours curfew"
03/30/2020,Saihat,0,0,0,0,2,2,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
